Time,What
12am,Midnight snack
1am-3am (varies),Activity
7am,Breakfast; wake people up
8am,Presentation signup
9am,Pre-judging
10am,Presentations
11am,Deliberation
11:45am,Awards
12pm,Clean-up
1pm,Out of the venue!
