Time,What
11:45am,Awards
1am-3am (varies),Activity
12am,Midnight snack
9am,Pre-judging
7am,Breakfast; wake people up
11am,Deliberation
12pm,Clean-up
10am,Presentations
1pm,Out of the venue!
8am,Presentation signup
